epoch,generator-adversarial-loss,perceptual-or-l1-loss,generator-loss-total,discriminator-loss,mae,epsilon,psnr
1.000000000000000000e+00,1.903419852256774902e+00,1.852510643005371094e+01,2.042852592468261719e+01,9.295640587806701660e-01,1.038648287455240932e-01,4.204314549763997211e-01,6.492261762319377283e+01
2.000000000000000000e+00,1.192021489143371582e+00,1.647002029418945312e+01,1.766204261779785156e+01,1.622465014457702637e+00,9.198852380116780136e-02,4.654763539632161273e-01,6.594499065495816126e+01
